"AI_EUIMSI","AI_SETUPEXEPATH","Archived","CallTrace","process.command_line","Company","host.name","Contents","CreationUtcTime","CurrentDirectory","Description","DestinationHostname","destination.ip","DestinationIsIpv6","destination.port","DestinationPortName","Details","EXE_CMD_LINE","event.code","EventType","FileVersion","GrantedAccess","Hash","related.hash","HostUrl","IMPHASH","process.executable","ImageLoaded","Initiated","IntegrityLevel","IsExecutable","Keywords","winlog.channel","LogonGuid","LogonId","MD5","message","OpCode","OriginalFileName","ParentCommandLine","process.parent.executable","ParentProcessGuid","process.parent.pid","ParentUser","PipeName","PreviousCreationUtcTime","ProcessGuid","process.pid","Product","Protocol","dns.question.name","dns.answers.data","QueryStatus","event.sequence","ReferrerUrl","RuleName","SETUPEXEDIR","SHA1","SHA256","Sid","SidType","Signature","SignatureStatus","Signed","SourceHostname","SourceImage","source.ip","SourceIsIpv6","event.provider","source.port","SourcePortName","SourceProcessGUID","SourceProcessId","SourceThreadId","SourceUser","file.path","TargetImage","TargetObject","TargetProcessGUID","TargetProcessId","TargetUser","event.action","TerminalSessionId","Type","user.name","event.created","ZoneId","_raw","@timestamp","eventtype","host","index","linecount","punct","source","sourcetype","splunk_server","splunk_server_group","tag","tag::eventtype","technique_id","technique_name","v"
"","","","","","","DESKTOP-887GK2L","","","","","","","","","","","","12","4\nCreateKey","","","","","","","C:\Windows\Explorer.EXE","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","Registry object added or deleted:\nRuleName: technique_id=T1546.001,technique_name=Change Default File Association\nEventType: CreateKey\nUtcTime: 2024-02-14 03:43:26.880\nProcessGuid: {817bddf3-311f-65cc-0a01-000000001900}\nProcessId: 1116\nImage: C:\Windows\Explorer.EXE\nTargetObject: HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx\nUser: DESKTOP-887GK2L\CyberJunkie","Info","","","","","","","","","{817bddf3-311f-65cc-0a01-000000001900}","1116","","","","","","118915","","technique_id=T1546.001,technique_name=Change Default File Association","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","","","HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:43:26.880","","02/14/2024 04:43:26 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=12\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118915\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=Registry object added or deleted:\nRuleName: technique_id=T1546.001,technique_name=Change Default File Association\nEventType: CreateKey\nUtcTime: 2024-02-14 03:43:26.880\nProcessGuid: {817bddf3-311f-65cc-0a01-000000001900}\nProcessId: 1116\nImage: C:\Windows\Explorer.EXE\nTargetObject: HKU\S-1-5-21-3393683511-3463148672-371912004-1001\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.evtx\nUser: DESKTOP-887GK2L\CyberJunkie\n","2026-06-29T04:43:26.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==____:\r:_=.,=___","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1546.001","Change",""
"","","","","","","DESKTOP-887GK2L","","2024-02-14 03:43:26.880","","","","","","","","","","11","4","","","","","","","C:\Windows\system32\mmc.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","File created:\nRuleName: -\nUtcTime: 2024-02-14 03:43:26.880\nProcessGuid: {817bddf3-312a-65cc-2901-000000001900}\nProcessId: 6368\nImage: C:\Windows\system32\mmc.exe\nTargetFilename: C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx\nCreationUtcTime: 2024-02-14 03:43:26.880\nUser: DESKTOP-887GK2L\CyberJunkie","Info","","","","","","","","","{817bddf3-312a-65cc-2901-000000001900}","6368","","","","","","118914","","-","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:43:26.880","","02/14/2024 04:43:26 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=11\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118914\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File created:\nRuleName: -\nUtcTime: 2024-02-14 03:43:26.880\nProcessGuid: {817bddf3-312a-65cc-2901-000000001900}\nProcessId: 6368\nImage: C:\Windows\system32\mmc.exe\nTargetFilename: C:\Users\CyberJunkie\Desktop\Microsoft-Windows-Sysmon-Operational.evtx\nCreationUtcTime: 2024-02-14 03:43:26.880\nUser: DESKTOP-887GK2L\CyberJunkie\n","2026-06-29T04:43:26.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::.","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","","",""
"","","","","","","DESKTOP-887GK2L","","2023-02-01 00:44:18.791","","","","","","","","","","11","4","","","","","","","C:\Windows\system32\svchost.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:43:26.192\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf\nCreationUtcTime: 2023-02-01 00:44:18.791\nUser: NT AUTHORITY\SYSTEM","Info","","","","","","","","","{817bddf3-307d-65cc-2200-000000001900}","1668","","","","","","118913","","technique_id=T1574.010,technique_name=Services File Permissions Weakness","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nNT AUTHORITY\SYSTEM","2026-06-29 03:43:26.192","","02/14/2024 04:43:26 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=11\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118913\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:43:26.192\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf\nCreationUtcTime: 2023-02-01 00:44:18.791\nUser: NT AUTHORITY\SYSTEM\n","2026-06-29T04:43:26.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:_","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1574.010","Services",""
"","","","","","","DESKTOP-887GK2L","","2023-03-23 20:57:53.236","","","","","","","","","","11","4","","","","","","","C:\Windows\system32\svchost.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:42:07.718\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf\nCreationUtcTime: 2023-03-23 20:57:53.236\nUser: NT AUTHORITY\SYSTEM","Info","","","","","","","","","{817bddf3-307d-65cc-2200-000000001900}","1668","","","","","","118912","","technique_id=T1574.010,technique_name=Services File Permissions Weakness","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nNT AUTHORITY\SYSTEM","2026-06-29 03:42:07.718","","02/14/2024 04:42:07 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=11\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118912\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:42:07.718\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\MSIEXEC.EXE-8FFB1633.pf\nCreationUtcTime: 2023-03-23 20:57:53.236\nUser: NT AUTHORITY\SYSTEM\n","2026-06-29T04:42:07.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:_","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1574.010","Services",""
"","","","","","","DESKTOP-887GK2L","","2023-02-01 00:54:29.008","","","","","","","","","","11","4","","","","","","","C:\Windows\system32\svchost.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:42:05.734\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf\nCreationUtcTime: 2023-02-01 00:54:29.008\nUser: NT AUTHORITY\SYSTEM","Info","","","","","","","","","{817bddf3-307d-65cc-2200-000000001900}","1668","","","","","","118911","","technique_id=T1574.010,technique_name=Services File Permissions Weakness","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nNT AUTHORITY\SYSTEM","2026-06-29 03:42:05.734","","02/14/2024 04:42:05 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=11\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118911\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:42:05.734\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\SMARTSCREEN.EXE-EACC1250.pf\nCreationUtcTime: 2023-02-01 00:54:29.008\nUser: NT AUTHORITY\SYSTEM\n","2026-06-29T04:42:05.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:_","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1574.010","Services",""
"","","","","","","DESKTOP-887GK2L","","","","","-","93.184.216.34","false","80","-","","","3","4","","","","","","","C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","true","","","None","Microsoft-Windows-Sysmon/Operational","","","","Network connection detected:\nRuleName: technique_id=T1036,technique_name=Masquerading\nUtcTime: 2024-02-14 03:41:57.159\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie\nProtocol: tcp\nInitiated: true\nSourceIsIpv6: false\nSourceIp: 172.17.79.132\nSourceHostname: -\nSourcePort: 61177\nSourcePortName: -\nDestinationIsIpv6: false\nDestinationIp: 93.184.216.34\nDestinationHostname: -\nDestinationPort: 80\nDestinationPortName: -","Info","","","","","","","","","{817bddf3-3684-65cc-2d02-000000001900}","10672","","tcp","","","","118910","","technique_id=T1036,technique_name=Masquerading","","","","S-1-5-18","1","","","","-","","172.17.79.132","false","Microsoft-Windows-Sysmon","61177","-","","","","","","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:41:57.159","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=3\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118910\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=Network connection detected:\nRuleName: technique_id=T1036,technique_name=Masquerading\nUtcTime: 2024-02-14 03:41:57.159\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie\nProtocol: tcp\nInitiated: true\nSourceIsIpv6: false\nSourceIp: 172.17.79.132\nSourceHostname: -\nSourcePort: 61177\nSourcePortName: -\nDestinationIsIpv6: false\nDestinationIp: 93.184.216.34\nDestinationHostname: -\nDestinationPort: 80\nDestinationPortName: -\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","34","//_::_=--/===-==---==--====__(:_)==__:\r:_=,=\r:_--_","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1036","Masquerading",""
"","","","","","","DESKTOP-887GK2L","","2024-02-14 03:41:58.795","","","","","","","","","","11","4","","","","","","","C:\Windows\system32\svchost.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf\nCreationUtcTime: 2024-02-14 03:41:58.795\nUser: NT AUTHORITY\SYSTEM","Info","","","","","","","","","{817bddf3-307d-65cc-2200-000000001900}","1668","","","","","","118909","","technique_id=T1574.010,technique_name=Services File Permissions Weakness","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nNT AUTHORITY\SYSTEM","2026-06-29 03:41:58.795","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=11\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118909\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File created:\nRuleName: technique_id=T1574.010,technique_name=Services File Permissions Weakness\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-307d-65cc-2200-000000001900}\nProcessId: 1668\nImage: C:\Windows\system32\svchost.exe\nTargetFilename: C:\Windows\Prefetch\PREVENTIVO24.02.14.EXE.EXE-74B3D8B7.pf\nCreationUtcTime: 2024-02-14 03:41:58.795\nUser: NT AUTHORITY\SYSTEM\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","24","//_::_=--/===-==---==--====__(:_)==_:\r:_=.,=___\r:_","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1574.010","Services",""
"","","","","","","DESKTOP-887GK2L","","","","","","","","","","Binary Data","","13","4\nSetValue","","","","","","","C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","Registry value set:\nRuleName: technique_id=T1543,technique_name=Service Creation\nEventType: SetValue\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nTargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nDetails: Binary Data\nUser: DESKTOP-887GK2L\CyberJunkie","Info","","","","","","","","","{817bddf3-3684-65cc-2d02-000000001900}","10672","","","","","","118908","","technique_id=T1543,technique_name=Service Creation","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","","","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:41:58.795","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=13\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118908\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=Registry value set:\nRuleName: technique_id=T1543,technique_name=Service Creation\nEventType: SetValue\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nTargetObject: HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3393683511-3463148672-371912004-1001\\Device\HarddiskVolume3\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nDetails: Binary Data\nUser: DESKTOP-887GK2L\CyberJunkie\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","25","//_::_=--/===-==---==--====__(:_)==__:\r:_=,=_\r:_\r:","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","T1543","Service",""
"","","","","","","DESKTOP-887GK2L","","","","","","","","","","","","5","4","","","","","","","C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","Process terminated:\nRuleName: -\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie","Info","","","","","","","","","{817bddf3-3684-65cc-2d02-000000001900}","10672","","","","","","118907","","-","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:41:58.795","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=5\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118907\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=Process terminated:\nRuleName: -\nUtcTime: 2024-02-14 03:41:58.795\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","22","//_::_=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::.","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","","",""
"","","","","","","DESKTOP-887GK2L","","","","","","","","","","","","22","4","","","","","","","C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","","","","None","Microsoft-Windows-Sysmon/Operational","","","","Dns query:\nRuleName: -\nUtcTime: 2024-02-14 03:41:56.955\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nQueryName: www.example.com\nQueryStatus: 0\nQueryResults: ::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie","Info","","","","","","","","","{817bddf3-3684-65cc-2d02-000000001900}","10672","","","www.example.com","::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;","0","118906","","-","","","","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:41:56.955","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=22\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118906\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=Dns query:\nRuleName: -\nUtcTime: 2024-02-14 03:41:56.955\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nQueryName: www.example.com\nQueryStatus: 0\nQueryResults: ::ffff:93.184.216.34;199.43.135.53;2001:500:8f::53;199.43.133.53;2001:500:8d::53;\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nUser: DESKTOP-887GK2L\CyberJunkie\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","25","//_::_=--/===-==---==--====__(:_)==_:\r:_-\r:_--_::.","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","","",""
"","","true","","","","DESKTOP-887GK2L","","","","","","","","","","","","23","4","","","","SHA1=A8F96C8708E0BD23FC9F0B959C49863080A188DD,MD5=7065625D4F5E1730EADE5A9B4B5A6948,SHA256=4D12FEBD622266220AA2DD2074972EE82545C144DC599F68866212A29DB9F442,IMPHASH=EF1E9DDE52DC9EAC6CA5A709346FB484","","EF1E9DDE52DC9EAC6CA5A709346FB484","C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe","","","","true","None","Microsoft-Windows-Sysmon/Operational","","","7065625D4F5E1730EADE5A9B4B5A6948","File Delete archived:\nRuleName: Executables\nUtcTime: 2024-02-14 03:41:58.748\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nUser: DESKTOP-887GK2L\CyberJunkie\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nTargetFilename: C:\Users\CyberJunkie\AppData\Roaming\Photo and Fax Vn\Photo and vn 1.1.2\install\F97891C\WindowsVolume\Games\vnchooks.dll\nHashes: SHA1=A8F96C8708E0BD23FC9F0B959C49863080A188DD,MD5=7065625D4F5E1730EADE5A9B4B5A6948,SHA256=4D12FEBD622266220AA2DD2074972EE82545C144DC599F68866212A29DB9F442,IMPHASH=EF1E9DDE52DC9EAC6CA5A709346FB484\nIsExecutable: true\nArchived: true","Info","","","","","","","","","{817bddf3-3684-65cc-2d02-000000001900}","10672","","","","","","118905","","Executables","","A8F96C8708E0BD23FC9F0B959C49863080A188DD","4D12FEBD622266220AA2DD2074972EE82545C144DC599F68866212A29DB9F442","S-1-5-18","1","","","","","","","","Microsoft-Windows-Sysmon","","","","","","","C:\Users\CyberJunkie\AppData\Roaming\Photo and Fax Vn\Photo and vn 1.1.2\install\F97891C\WindowsVolume\Games\vnchooks.dll","","","","","","Dns query (rule: DnsQuery)","","Information","SYSTEM\nDESKTOP-887GK2L\CyberJunkie","2026-06-29 03:41:58.748","","02/14/2024 04:41:58 AM\nLogName=Microsoft-Windows-Sysmon/Operational\nEventCode=23\nEventType=4\nComputerName=DESKTOP-887GK2L\nUser=SYSTEM\nSid=S-1-5-18\nSidType=1\nSourceName=Microsoft-Windows-Sysmon\nType=Information\nRecordNumber=118905\nKeywords=None\nTaskCategory=Dns query (rule: DnsQuery)\nOpCode=Info\nMessage=File Delete archived:\nRuleName: Executables\nUtcTime: 2024-02-14 03:41:58.748\nProcessGuid: {817bddf3-3684-65cc-2d02-000000001900}\nProcessId: 10672\nUser: DESKTOP-887GK2L\CyberJunkie\nImage: C:\Users\CyberJunkie\Downloads\Preventivo24.02.14.exe.exe\nTargetFilename: C:\Users\CyberJunkie\AppData\Roaming\Photo and Fax Vn\Photo and vn 1.1.2\install\F97891C\WindowsVolume\Games\vnchooks.dll\nHashes: SHA1=A8F96C8708E0BD23FC9F0B959C49863080A188DD,MD5=7065625D4F5E1730EADE5A9B4B5A6948,SHA256=4D12FEBD622266220AA2DD2074972EE82545C144DC599F68866212A29DB9F442,IMPHASH=EF1E9DDE52DC9EAC6CA5A709346FB484\nIsExecutable: true\nArchived: true\n","2026-06-29T04:41:58.000+0100","","DESKTOP-887GK2L","sysmonsplunklab1","26","//_::_=--/===-==---==--====__(:_)==__:\r:_\r:_--_::.","C:\Users\micha\Downloads\Splunk_Exercise-1.0.0\Splunk_Exercise-1.0.0\Microsoft-Windows-Sysmon-Operational.evtx","WinEventLog:Microsoft-Windows-Sysmon/Operational","PC","","","","","",""
